URL,80
pcmigrateio50b.ocloud.oppomobile.com,X,
pcmigrateio71a.ocloud.oppomobile.com,X,
pcmigrateio71b.ocloud.oppomobile.com,X,
pet.game.oppomobile.com,X,
pfs-intl.oppomobile.com,X,
pfs.oppomobile.com,X,
pfs-origin-fa19b1.oppomobile.com,X,
ph-epoch.oppomobile.com,X,
ph-game.oppomobile.com,X,
ph-store.oppomobile.com,X,
play.open.oppomobile.com,X,
preconf.dc.oppomobile.com,X,
predragate.dc.oppomobile.com,X,
proxy.apps.oppomobile.com,X,
proxyeu.apps.oppomobile.com,X,
proxyf.apps.oppomobile.com,X,
*.pull.oppomobile.com,X,
pull.oppomobile.com,X,
*.push.oppomobile.com,X,
push.oppomobile.com,X,
recharge.apps.oppomobile.com,X,
res-fin.oppomobile.com,X,
rest-cn01a.ocloud.oppomobile.com,X,
romfs.foreign.oppomobile.com,X,
Romfs.foreign.oppomobile.com,X,
safe.oppomobile.com,X,
saserver-dev.search.oppomobile.com,X,
saserver.search.oppomobile.com,X,
scene.dc.oppomobile.com,X,
scenedict-ocloud.oppomobile.com,X,
searchfsf.oppomobile.com,X,
*.search.oppomobile.com,X,
search.oppomobile.com,X,
*.shopping.oppomobile.com,X,
shopping.oppomobile.com,X,
shorteuex.push.oppomobile.com,X,
shortintl.push.oppomobile.com,X,
smarthome.iot.oppomobile.com,X,
sms.ads.oppomobile.com,X,
sms-in.ads.oppomobile.com,X,
snake.oppomobile.com,X,
soporf.oppomobile.com,X,
sopor.game.oppomobile.com,X,
sport-health.oppomobile.com,X,
stat.browser.oppomobile.com,X,
stat.dc.oppomobile.com,X,
state.dc.oppomobile.com,X,
stateu.dc.oppomobile.com,X,
statf.dc.oppomobile.com,X,
static-cn01a.ocloud.oppomobile.com,X,
static-cn01a.oppomobile.com,X,
static-in01a.ocloud.oppomobile.com,X,
stat-in.dc.oppomobile.com,X,
stat-sg.dc.oppomobile.com,X,
sticker.apps.oppomobile.com,X,
stickereu.apps.oppomobile.com,X,
stickerf.apps.oppomobile.com,X,
stickerfsf.oppomobile.com,X,
storeadminw3.apk.scmweb-searchdeveloper-ph-game-data.w3-sanconfox1-f.my-ga.oppomobile.com,X,
storedl3.f.oppomobile.com,X,
storedl3f.oppomobile.com,X,
storedl4.f.oppomobile.com,X,
storedl4f.oppomobile.com,X,
storedl5.f.oppomobile.com,X,
storedl5f.oppomobile.com,X,
storefs.f.oppomobile.com,X,
*.store.oppomobile.com,X,
store.oppomobile.com,X,
storepic.oppomobile.com,X,
st.pull.oppomobile.com,X,
stuck-cn.dc.oppomobile.com,X,
stuck-eu.dc.oppomobile.com,X,
stuck.foreign.oppomobile.com,X,
stuck-sg.dc.oppomobile.com,X,
teamdashboard.webproxy.idcjoy-manageabfl6lt6ea.univeryountselegorysistmall.awsjobs-bdjobs-com.manage-team.0.oppomobile.com,X,
template.f.oppomobile.com,X,
template.game.oppomobile.com,X,
testapi.open.oppomobile.com,X,
*.theme.oppomobile.com,X,
theme.oppomobile.com,X,
th-epoch.oppomobile.com,X,
th-game.oppomobile.com,X,
th-store.oppomobile.com,X,
tinderchef-sms-inapac.raw-eu.azure.apk.scmweb.cstat-in-intlapiext.c9d9a4-upload.oppomobile.com,X,
tips.apps.oppomobile.com,X,
tipsf.apps.oppomobile.com,X,
tipsfsf.oppomobile.com,X,
tipsfs.oppomobile.com,X,
translate.apps.oppomobile.com,X,
translatefs-sg.apps.oppomobile.com,X,
tw-epoch.oppomobile.com,X,
tw-game.oppomobile.com,X,
tw-store.oppomobile.com,X,
uapi.ads.oppomobile.com,X,
u.browser.oppomobile.com,X,
*.uc.oppomobile.com,X,
uc.oppomobile.com,X,
u-id.browser.oppomobile.com,X,
u-in.browser.oppomobile.com,X,
u.oppomobile.com,X,
u-th.browser.oppomobile.com,X,
u-vn.browser.oppomobile.com,X,
v.bot.oppomobile.com,X,
video.oppomobile.com,X,
vn-epoch.oppomobile.com,X,
vn-game.oppomobile.com,X,
vn.push.oppomobile.com,X,
vn-store.oppomobile.com,X,
wap.game.oppomobile.com,X,
weatherapi-eu.oppomobile.com,X,
weatherapi.oppomobile.com,X,
weatherapi-sg.oppomobile.com,X,
weatherfs.oppomobile.com,X,
*.weather.oppomobile.com,X,
weather.oppomobile.com,X,
www.oppomobile.com,X,
yule.oppomobile.com,X,
